,sarake1,sarake2,sarake3
0,,0.3800578513103983,0.91938885748596
1,0.9222505920455354,0.49072052501525,0.1339317344612585
3,0.3637065716836567,0.8783488172097714,0.4856999670840168
6,0.3231338681407583,0.03646602409403665,0.1867750644969246
7,0.4676099556015096,0.8509925777318551,0.3775578779038421
8,0.3032986657510818,0.09697051861281436,0.4510310986215501
9,0.7334853147358118,0.5919964415669808,0.6589237820512222
10,0.6416282290317612,0.2518862827582513,0.2749868530530092
12,0.31990554258025083,0.4892003560719629,0.9903191202677621
13,0.7802672238818178,0.458454395392835,0.053427743498142936
15,0.9358745961778226,0.6982760592682931,0.4468853269538339
17,0.2731929006731526,0.3003068613498512,0.7682703173662532
18,0.4670600401299349,0.22516108570204296,0.9115696787937382
20,0.3005888788521001,0.4559799164810965,0.2922253209559241
21,0.859969901091025,0.3465385224790377,0.36462868368067336
22,0.8423644152934061,0.09348522002427706,0.6620657650327825
23,0.7816933239208187,0.5733442437129072,0.8156924826578696
24,0.7889488463806328,0.945624786624094,0.8526897469765784
